kind-worker2,47m,0%,368Mi,4%,
kind-worker3,38m,0%,311Mi,3%,
idx,20,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,21,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,22,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,23,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,24,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,25,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
kind-worker3,83m,1%,313Mi,3%,
idx,26,LOG_TIME,2023-05-10T19:12:52,2023-05-10T14:12:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1003m,12%,1389Mi,17%,
kind-worker,122m,1%,322Mi,4%,
kind-worker2,168m,2%,385Mi,4%,
