kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,23,LOG_TIME,2024-01-14T03:03:09,2024-01-13T21:03:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,24,LOG_TIME,2024-01-14T03:03:10,2024-01-13T21:03:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,25,LOG_TIME,2024-01-14T03:03:11,2024-01-13T21:03:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,26,LOG_TIME,2024-01-14T03:03:12,2024-01-13T21:03:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,27,LOG_TIME,2024-01-14T03:03:13,2024-01-13T21:03:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,28,LOG_TIME,2024-01-14T03:03:14,2024-01-13T21:03:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,29,LOG_TIME,2024-01-14T03:03:15,2024-01-13T21:03:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1278m,15%,807Mi,10%,
kind-worker,211m,2%,325Mi,4%,
kind-worker2,53m,0%,314Mi,3%,
idx,30,LOG_TIME,2024-01-14T03:03:16,2024-01-13T21:03:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,31,LOG_TIME,2024-01-14T03:03:17,2024-01-13T21:03:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,32,LOG_TIME,2024-01-14T03:03:18,2024-01-13T21:03:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,33,LOG_TIME,2024-01-14T03:03:19,2024-01-13T21:03:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,34,LOG_TIME,2024-01-14T03:03:20,2024-01-13T21:03:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,35,LOG_TIME,2024-01-14T03:03:21,2024-01-13T21:03:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,36,LOG_TIME,2024-01-14T03:03:22,2024-01-13T21:03:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,37,LOG_TIME,2024-01-14T03:03:23,2024-01-13T21:03:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,38,LOG_TIME,2024-01-14T03:03:24,2024-01-13T21:03:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,39,LOG_TIME,2024-01-14T03:03:25,2024-01-13T21:03:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1214m,15%,809Mi,10%,
kind-worker,46m,0%,325Mi,4%,
kind-worker2,53m,0%,312Mi,3%,
idx,40,LOG_TIME,2024-01-14T03:03:26,2024-01-13T21:03:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,41,LOG_TIME,2024-01-14T03:03:27,2024-01-13T21:03:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,42,LOG_TIME,2024-01-14T03:03:28,2024-01-13T21:03:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,43,LOG_TIME,2024-01-14T03:03:29,2024-01-13T21:03:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,44,LOG_TIME,2024-01-14T03:03:30,2024-01-13T21:03:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,45,LOG_TIME,2024-01-14T03:03:31,2024-01-13T21:03:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,46,LOG_TIME,2024-01-14T03:03:32,2024-01-13T21:03:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,47,LOG_TIME,2024-01-14T03:03:34,2024-01-13T21:03:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,48,LOG_TIME,2024-01-14T03:03:35,2024-01-13T21:03:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1244m,15%,809Mi,10%,
kind-worker,217m,2%,356Mi,4%,
kind-worker2,297m,3%,338Mi,4%,
idx,49,LOG_TIME,2024-01-14T03:03:36,2024-01-13T21:03:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,50,LOG_TIME,2024-01-14T03:03:37,2024-01-13T21:03:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,51,LOG_TIME,2024-01-14T03:03:38,2024-01-13T21:03:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,52,LOG_TIME,2024-01-14T03:03:39,2024-01-13T21:03:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,53,LOG_TIME,2024-01-14T03:03:40,2024-01-13T21:03:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,54,LOG_TIME,2024-01-14T03:03:41,2024-01-13T21:03:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,55,LOG_TIME,2024-01-14T03:03:42,2024-01-13T21:03:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,56,LOG_TIME,2024-01-14T03:03:43,2024-01-13T21:03:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,57,LOG_TIME,2024-01-14T03:03:44,2024-01-13T21:03:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,58,LOG_TIME,2024-01-14T03:03:45,2024-01-13T21:03:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1678m,20%,817Mi,10%,
kind-worker,36m,0%,355Mi,4%,
kind-worker2,120m,1%,348Mi,4%,
idx,59,LOG_TIME,2024-01-14T03:03:46,2024-01-13T21:03:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,60,LOG_TIME,2024-01-14T03:03:47,2024-01-13T21:03:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,61,LOG_TIME,2024-01-14T03:03:48,2024-01-13T21:03:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,62,LOG_TIME,2024-01-14T03:03:49,2024-01-13T21:03:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,63,LOG_TIME,2024-01-14T03:03:50,2024-01-13T21:03:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,64,LOG_TIME,2024-01-14T03:03:51,2024-01-13T21:03:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,65,LOG_TIME,2024-01-14T03:03:52,2024-01-13T21:03:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,66,LOG_TIME,2024-01-14T03:03:53,2024-01-13T21:03:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,67,LOG_TIME,2024-01-14T03:03:54,2024-01-13T21:03:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,68,LOG_TIME,2024-01-14T03:03:55,2024-01-13T21:03:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1670m,20%,818Mi,10%,
kind-worker,37m,0%,356Mi,4%,
kind-worker2,56m,0%,348Mi,4%,
idx,69,LOG_TIME,2024-01-14T03:03:56,2024-01-13T21:03:56,-
