command,keyword,start_cdt,start_utc,end_cdt,end_utc
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_start
.py,start logging,2023-09-19T23:42:46,2023-09-20T04:42:46,2023-09-19T23:42:46,2023-09-20T04:42:46
kubectl taint nodes kind-worker key1=value1:NoExecute,taint node,2023-09-19T23:42:56,2023-09-20T04:42:56,2023-09-19T23:42:56,2023-09-20T04:42:56
kubectl apply -f deploy.yaml,apply deploy_php-apache,2023-09-19T23:43:01,2023-09-20T04:43:01,2023-09-19T23:43:02,2023-09-20T04:43:02
pkill -f "python3 logging_start.py",stop logging_start.py,2023-09-19T23:43:32,2023-09-20T04:43:32,2023-09-19T23:43:32,2023-09-20T04:43:32
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-09-19T23:43:37,2023-09-20T04:43:37,kubectl delete deploy/php-apache,2023-09-19T23:43:47,2023-09-20T04:43:47,2023-09-19T23:43:47,2023-09-20T04:43:47
kubectl taint nodes kind-worker key1=value1:NoExecute-,remove taint node,2023-09-19T23:43:50,2023-09-20T04:43:50,2023-09-19T23:43:51,2023-09-20T04:43:51
