kind-worker,41m,0%,235Mi,2%,
kind-worker2,52m,0%,247Mi,3%,
kind-worker3,34m,0%,256Mi,3%,
idx,20,LOG_TIME,2023-08-22T00:25:04,2023-08-21T19:25:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,944m,11%,809Mi,10%,
kind-worker,41m,0%,235Mi,2%,
kind-worker2,52m,0%,247Mi,3%,
kind-worker3,34m,0%,256Mi,3%,
idx,21,LOG_TIME,2023-08-22T00:25:05,2023-08-21T19:25:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,944m,11%,809Mi,10%,
kind-worker,41m,0%,235Mi,2%,
kind-worker2,52m,0%,247Mi,3%,
kind-worker3,34m,0%,256Mi,3%,
idx,22,LOG_TIME,2023-08-22T00:25:06,2023-08-21T19:25:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,944m,11%,809Mi,10%,
kind-worker,41m,0%,235Mi,2%,
kind-worker2,52m,0%,247Mi,3%,
kind-worker3,34m,0%,256Mi,3%,
idx,23,LOG_TIME,2023-08-22T00:25:08,2023-08-21T19:25:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,944m,11%,809Mi,10%,
kind-worker,41m,0%,235Mi,2%,
kind-worker2,52m,0%,247Mi,3%,
kind-worker3,34m,0%,256Mi,3%,
idx,24,LOG_TIME,2023-08-22T00:25:09,2023-08-21T19:25:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,944m,11%,809Mi,10%,
kind-worker,41m,0%,235Mi,2%,
kind-worker2,52m,0%,247Mi,3%,
kind-worker3,34m,0%,256Mi,3%,
idx,25,LOG_TIME,2023-08-22T00:25:10,2023-08-21T19:25:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,26,LOG_TIME,2023-08-22T00:25:11,2023-08-21T19:25:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,27,LOG_TIME,2023-08-22T00:25:12,2023-08-21T19:25:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,28,LOG_TIME,2023-08-22T00:25:13,2023-08-21T19:25:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,29,LOG_TIME,2023-08-22T00:25:14,2023-08-21T19:25:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,30,LOG_TIME,2023-08-22T00:25:15,2023-08-21T19:25:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,31,LOG_TIME,2023-08-22T00:25:16,2023-08-21T19:25:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1233m,15%,822Mi,10%,
kind-worker,217m,2%,236Mi,2%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,39m,0%,258Mi,3%,
idx,32,LOG_TIME,2023-08-22T00:25:17,2023-08-21T19:25:17,-
