kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,20,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,21,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,22,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,23,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,24,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,25,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,26,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
idx,27,LOG_TIME,2023-04-23T19:40:08,2023-04-23T14:40:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,953m,11%,1336Mi,16%,
kind-worker,95m,1%,373Mi,4%,
kind-worker2,96m,1%,256Mi,3%,
kind-worker3,82m,1%,258Mi,3%,
