idx,39,LOG_TIME,2023-09-20T05:21:54,2023-09-20T00:21:54,-
idx,40,LOG_TIME,2023-09-20T05:21:55,2023-09-20T00:21:55,-
idx,41,LOG_TIME,2023-09-20T05:21:56,2023-09-20T00:21:56,-
idx,42,LOG_TIME,2023-09-20T05:21:57,2023-09-20T00:21:57,-
idx,43,LOG_TIME,2023-09-20T05:21:58,2023-09-20T00:21:58,-
idx,44,LOG_TIME,2023-09-20T05:21:59,2023-09-20T00:21:59,-
idx,45,LOG_TIME,2023-09-20T05:22:00,2023-09-20T00:22:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1805m,22%,675Mi,8%,
kind-worker,45m,0%,218Mi,2%,
kind-worker2,58m,0%,265Mi,3%,
idx,46,LOG_TIME,2023-09-20T05:22:01,2023-09-20T00:22:01,-
idx,47,LOG_TIME,2023-09-20T05:22:02,2023-09-20T00:22:02,-
idx,48,LOG_TIME,2023-09-20T05:22:03,2023-09-20T00:22:03,-
idx,49,LOG_TIME,2023-09-20T05:22:04,2023-09-20T00:22:04,-
idx,50,LOG_TIME,2023-09-20T05:22:05,2023-09-20T00:22:05,-
idx,51,LOG_TIME,2023-09-20T05:22:06,2023-09-20T00:22:06,-
idx,52,LOG_TIME,2023-09-20T05:22:07,2023-09-20T00:22:07,-
idx,53,LOG_TIME,2023-09-20T05:22:08,2023-09-20T00:22:08,-
idx,54,LOG_TIME,2023-09-20T05:22:09,2023-09-20T00:22:09,-
idx,55,LOG_TIME,2023-09-20T05:22:10,2023-09-20T00:22:10,-
idx,56,LOG_TIME,2023-09-20T05:22:11,2023-09-20T00:22:11,-
idx,57,LOG_TIME,2023-09-20T05:22:12,2023-09-20T00:22:12,-
idx,58,LOG_TIME,2023-09-20T05:22:13,2023-09-20T00:22:13,-
idx,59,LOG_TIME,2023-09-20T05:22:14,2023-09-20T00:22:15,-
idx,60,LOG_TIME,2023-09-20T05:22:16,2023-09-20T00:22:16,-
idx,61,LOG_TIME,2023-09-20T05:22:17,2023-09-20T00:22:17,-
idx,62,LOG_TIME,2023-09-20T05:22:18,2023-09-20T00:22:18,-
idx,63,LOG_TIME,2023-09-20T05:22:19,2023-09-20T00:22:19,-
idx,64,LOG_TIME,2023-09-20T05:22:20,2023-09-20T00:22:20,-
idx,65,LOG_TIME,2023-09-20T05:22:21,2023-09-20T00:22:21,-
idx,66,LOG_TIME,2023-09-20T05:22:22,2023-09-20T00:22:22,-
idx,67,LOG_TIME,2023-09-20T05:22:23,2023-09-20T00:22:23,-
idx,68,LOG_TIME,2023-09-20T05:22:24,2023-09-20T00:22:24,-
idx,69,LOG_TIME,2023-09-20T05:22:25,2023-09-20T00:22:25,-
idx,70,LOG_TIME,2023-09-20T05:22:26,2023-09-20T00:22:26,-
idx,71,LOG_TIME,2023-09-20T05:22:27,2023-09-20T00:22:27,-
idx,72,LOG_TIME,2023-09-20T05:22:28,2023-09-20T00:22:28,-
idx,73,LOG_TIME,2023-09-20T05:22:29,2023-09-20T00:22:29,-
idx,74,LOG_TIME,2023-09-20T05:22:30,2023-09-20T00:22:30,-
