kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,23,LOG_TIME,2023-09-20T05:08:42,2023-09-20T00:08:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1109m,13%,664Mi,8%,
kind-worker,56m,0%,187Mi,2%,
kind-worker2,229m,2%,177Mi,2%,
idx,24,LOG_TIME,2023-09-20T05:08:43,2023-09-20T00:08:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,25,LOG_TIME,2023-09-20T05:08:44,2023-09-20T00:08:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,26,LOG_TIME,2023-09-20T05:08:45,2023-09-20T00:08:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,27,LOG_TIME,2023-09-20T05:08:46,2023-09-20T00:08:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,28,LOG_TIME,2023-09-20T05:08:48,2023-09-20T00:08:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,29,LOG_TIME,2023-09-20T05:08:49,2023-09-20T00:08:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,30,LOG_TIME,2023-09-20T05:08:50,2023-09-20T00:08:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,31,LOG_TIME,2023-09-20T05:08:51,2023-09-20T00:08:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,32,LOG_TIME,2023-09-20T05:08:52,2023-09-20T00:08:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,33,LOG_TIME,2023-09-20T05:08:53,2023-09-20T00:08:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1589m,19%,666Mi,8%,
kind-worker,156m,1%,201Mi,2%,
kind-worker2,62m,0%,179Mi,2%,
idx,34,LOG_TIME,2023-09-20T05:08:54,2023-09-20T00:08:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
kind-worker,206m,2%,203Mi,2%,
kind-worker2,186m,2%,198Mi,2%,
idx,35,LOG_TIME,2023-09-20T05:08:55,2023-09-20T00:08:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1502m,18%,666Mi,8%,
