kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,20,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,21,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,465m,5%,1310Mi,16%,
kind-worker,39m,0%,351Mi,4%,
kind-worker2,57m,0%,270Mi,3%,
kind-worker3,40m,0%,264Mi,3%,
idx,22,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,23,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,24,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,25,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,26,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,27,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,28,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,29,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,30,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,31,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,32,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,33,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,34,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,35,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,36,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,927m,11%,1314Mi,16%,
kind-worker,49m,0%,352Mi,4%,
kind-worker2,66m,0%,272Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,37,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,38,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,39,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,40,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,41,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,42,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,43,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,44,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,45,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,46,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,47,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
idx,48,LOG_TIME,2023-04-24T04:08:50,2023-04-23T23:08:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,903m,11%,1316Mi,16%,
kind-worker,50m,0%,352Mi,4%,
kind-worker2,144m,1%,286Mi,3%,
kind-worker3,56m,0%,264Mi,3%,
