kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,20,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,21,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,22,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,23,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,24,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,25,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,26,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1055m,13%,1363Mi,17%,
kind-worker,165m,2%,331Mi,4%,
kind-worker2,61m,0%,370Mi,4%,
kind-worker3,158m,1%,324Mi,4%,
idx,27,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,28,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,29,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,30,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,31,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,32,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,33,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,34,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,35,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1085m,13%,1367Mi,17%,
kind-worker,46m,0%,330Mi,4%,
kind-worker2,163m,2%,386Mi,4%,
kind-worker3,44m,0%,324Mi,4%,
idx,36,LOG_TIME,2023-05-10T19:38:44,2023-05-10T14:38:44
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
