kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,20,LOG_TIME,2023-05-15T18:07:59,2023-05-15T13:07:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,902m,11%,824Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,21,LOG_TIME,2023-05-15T18:08:00,2023-05-15T13:08:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,902m,11%,824Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,22,LOG_TIME,2023-05-15T18:08:01,2023-05-15T13:08:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,902m,11%,824Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,23,LOG_TIME,2023-05-15T18:08:02,2023-05-15T13:08:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,902m,11%,824Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,24,LOG_TIME,2023-05-15T18:08:03,2023-05-15T13:08:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,902m,11%,824Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,25,LOG_TIME,2023-05-15T18:08:04,2023-05-15T13:08:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,902m,11%,824Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,46m,0%,280Mi,3%,
kind-worker3,35m,0%,256Mi,3%,
idx,26,LOG_TIME,2023-05-15T18:08:05,2023-05-15T13:08:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,27,LOG_TIME,2023-05-15T18:08:06,2023-05-15T13:08:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,28,LOG_TIME,2023-05-15T18:08:07,2023-05-15T13:08:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,29,LOG_TIME,2023-05-15T18:08:08,2023-05-15T13:08:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,30,LOG_TIME,2023-05-15T18:08:09,2023-05-15T13:08:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,31,LOG_TIME,2023-05-15T18:08:10,2023-05-15T13:08:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,32,LOG_TIME,2023-05-15T18:08:11,2023-05-15T13:08:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,33,LOG_TIME,2023-05-15T18:08:12,2023-05-15T13:08:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,34,LOG_TIME,2023-05-15T18:08:13,2023-05-15T13:08:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,935m,11%,817Mi,10%,
kind-worker,144m,1%,287Mi,3%,
kind-worker2,53m,0%,281Mi,3%,
kind-worker3,40m,0%,258Mi,3%,
idx,35,LOG_TIME,2023-05-15T18:08:14,2023-05-15T13:08:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,36,LOG_TIME,2023-05-15T18:08:15,2023-05-15T13:08:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,37,LOG_TIME,2023-05-15T18:08:16,2023-05-15T13:08:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,38,LOG_TIME,2023-05-15T18:08:17,2023-05-15T13:08:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,39,LOG_TIME,2023-05-15T18:08:18,2023-05-15T13:08:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,40,LOG_TIME,2023-05-15T18:08:19,2023-05-15T13:08:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,41,LOG_TIME,2023-05-15T18:08:20,2023-05-15T13:08:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,42,LOG_TIME,2023-05-15T18:08:21,2023-05-15T13:08:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,43,LOG_TIME,2023-05-15T18:08:22,2023-05-15T13:08:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,44,LOG_TIME,2023-05-15T18:08:23,2023-05-15T13:08:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,964m,12%,822Mi,10%,
kind-worker,133m,1%,287Mi,3%,
kind-worker2,124m,1%,291Mi,3%,
kind-worker3,46m,0%,260Mi,3%,
idx,45,LOG_TIME,2023-05-15T18:08:24,2023-05-15T13:08:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,46,LOG_TIME,2023-05-15T18:08:25,2023-05-15T13:08:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,47,LOG_TIME,2023-05-15T18:08:26,2023-05-15T13:08:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,48,LOG_TIME,2023-05-15T18:08:27,2023-05-15T13:08:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,49,LOG_TIME,2023-05-15T18:08:28,2023-05-15T13:08:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,50,LOG_TIME,2023-05-15T18:08:29,2023-05-15T13:08:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,51,LOG_TIME,2023-05-15T18:08:30,2023-05-15T13:08:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,52,LOG_TIME,2023-05-15T18:08:31,2023-05-15T13:08:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,53,LOG_TIME,2023-05-15T18:08:32,2023-05-15T13:08:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
idx,54,LOG_TIME,2023-05-15T18:08:33,2023-05-15T13:08:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,929m,11%,822Mi,10%,
kind-worker,139m,1%,288Mi,3%,
kind-worker2,148m,1%,302Mi,3%,
kind-worker3,172m,2%,278Mi,3%,
