kind-worker,186m,2%,262Mi,3%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,30m,0%,250Mi,3%,
idx,20,LOG_TIME,2023-08-18T21:12:45,2023-08-18T16:12:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,890m,11%,831Mi,10%,
kind-worker,186m,2%,262Mi,3%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,30m,0%,250Mi,3%,
idx,21,LOG_TIME,2023-08-18T21:12:46,2023-08-18T16:12:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,890m,11%,831Mi,10%,
kind-worker,186m,2%,262Mi,3%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,30m,0%,250Mi,3%,
idx,22,LOG_TIME,2023-08-18T21:12:47,2023-08-18T16:12:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,890m,11%,831Mi,10%,
kind-worker,186m,2%,262Mi,3%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,30m,0%,250Mi,3%,
idx,23,LOG_TIME,2023-08-18T21:12:49,2023-08-18T16:12:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,890m,11%,831Mi,10%,
kind-worker,186m,2%,262Mi,3%,
kind-worker2,47m,0%,249Mi,3%,
kind-worker3,30m,0%,250Mi,3%,
idx,24,LOG_TIME,2023-08-18T21:12:50,2023-08-18T16:12:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,25,LOG_TIME,2023-08-18T21:12:51,2023-08-18T16:12:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,26,LOG_TIME,2023-08-18T21:12:52,2023-08-18T16:12:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,27,LOG_TIME,2023-08-18T21:12:53,2023-08-18T16:12:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,28,LOG_TIME,2023-08-18T21:12:54,2023-08-18T16:12:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,29,LOG_TIME,2023-08-18T21:12:55,2023-08-18T16:12:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,30,LOG_TIME,2023-08-18T21:12:56,2023-08-18T16:12:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,31,LOG_TIME,2023-08-18T21:12:57,2023-08-18T16:12:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,32,LOG_TIME,2023-08-18T21:12:58,2023-08-18T16:12:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1331m,16%,831Mi,10%,
kind-worker,49m,0%,262Mi,3%,
kind-worker2,48m,0%,250Mi,3%,
kind-worker3,29m,0%,249Mi,3%,
idx,33,LOG_TIME,2023-08-18T21:12:59,2023-08-18T16:12:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,34,LOG_TIME,2023-08-18T21:13:00,2023-08-18T16:13:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
idx,35,LOG_TIME,2023-08-18T21:13:01,2023-08-18T16:13:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,828Mi,10%,
kind-worker,40m,0%,263Mi,3%,
kind-worker2,47m,0%,248Mi,3%,
kind-worker3,71m,0%,255Mi,3%,
