kind-worker,188m,2%,294Mi,3%,
idx,27,LOG_TIME,2023-09-20T04:28:50,2023-09-19T23:28:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,28,LOG_TIME,2023-09-20T04:28:51,2023-09-19T23:28:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,29,LOG_TIME,2023-09-20T04:28:52,2023-09-19T23:28:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,30,LOG_TIME,2023-09-20T04:28:53,2023-09-19T23:28:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,31,LOG_TIME,2023-09-20T04:28:54,2023-09-19T23:28:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,32,LOG_TIME,2023-09-20T04:28:55,2023-09-19T23:28:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,33,LOG_TIME,2023-09-20T04:28:56,2023-09-19T23:28:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,34,LOG_TIME,2023-09-20T04:28:58,2023-09-19T23:28:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,35,LOG_TIME,2023-09-20T04:28:59,2023-09-19T23:28:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,36,LOG_TIME,2023-09-20T04:29:00,2023-09-19T23:29:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,37,LOG_TIME,2023-09-20T04:29:01,2023-09-19T23:29:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,38,LOG_TIME,2023-09-20T04:29:02,2023-09-19T23:29:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1473m,18%,652Mi,8%,
kind-worker,188m,2%,294Mi,3%,
idx,39,LOG_TIME,2023-09-20T04:29:03,2023-09-19T23:29:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,40,LOG_TIME,2023-09-20T04:29:04,2023-09-19T23:29:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,41,LOG_TIME,2023-09-20T04:29:05,2023-09-19T23:29:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,42,LOG_TIME,2023-09-20T04:29:06,2023-09-19T23:29:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,43,LOG_TIME,2023-09-20T04:29:07,2023-09-19T23:29:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,44,LOG_TIME,2023-09-20T04:29:08,2023-09-19T23:29:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,45,LOG_TIME,2023-09-20T04:29:09,2023-09-19T23:29:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,46,LOG_TIME,2023-09-20T04:29:10,2023-09-19T23:29:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,47,LOG_TIME,2023-09-20T04:29:11,2023-09-19T23:29:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,48,LOG_TIME,2023-09-20T04:29:12,2023-09-19T23:29:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,49,LOG_TIME,2023-09-20T04:29:13,2023-09-19T23:29:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,50,LOG_TIME,2023-09-20T04:29:14,2023-09-19T23:29:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,51,LOG_TIME,2023-09-20T04:29:15,2023-09-19T23:29:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,52,LOG_TIME,2023-09-20T04:29:16,2023-09-19T23:29:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1497m,18%,650Mi,8%,
kind-worker,170m,2%,293Mi,3%,
idx,53,LOG_TIME,2023-09-20T04:29:17,2023-09-19T23:29:17,-
