command,keyword,start_cdt,start_utc,end_cdt,end_utc
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-08-29T23:46:52,2023-08-30T04:46:52,2023-08-29T23:46:52,2023-08-30T04:46:52
kustomize build 'github.com/kubernetes-sigs/descheduler/kubernetes/deployment?ref=v0.26.0' | kubectl apply -f -,install descheduler deployment,2023-08-29T23:47:02,2023-08-30T04:47:02,2023-08-29T23:47:07,2023-08-30T04:47:07
kubectl apply -f descheduler-configmap.yaml,update descheduler configmap,2023-08-29T23:47:12,2023-08-30T04:47:12,kubectl apply -f descheduler-deployment.yaml,update descheduler deployment config,2023-08-29T23:47:17,2023-08-30T04:47:17,kubectl apply -f deploy_background_1.yaml,apply background_1 deployment,2023-08-29T23:47:23,2023-08-30T04:47:23,kubectl apply -f deploy_background_2.yaml,apply background_2 deployment,2023-08-29T23:47:29,2023-08-30T04:47:29,kubectl apply -f deploy_foreground.yaml,apply foreground deployment,2023-08-29T23:47:35,2023-08-30T04:47:35,2023-08-29T23:47:40,2023-08-30T04:47:40
pkill -f python3 logging_start.py,stop logging_start.py,2023-08-29T23:48:40,2023-08-30T04:48:40,2023-08-29T23:48:40,2023-08-30T04:48:40
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-08-29T23:48:45,2023-08-30T04:48:45,2023-08-29T23:48:55,2023-08-30T04:48:55
kubectl delete deploy/background-1,delete background-1 deployment,2023-08-29T23:49:00,2023-08-30T04:49:00,kubectl delete deploy/background-2,delete background-2 deployment,2023-08-29T23:49:00,2023-08-30T04:49:00,kubectl delete deploy/nginx-deployment,delete nginx deployment,2023-08-29T23:49:01,2023-08-30T04:49:01,2023-08-29T23:49:01,2023-08-30T04:49:01
kubectl delete deploy/descheduler -n kube-system,delete descheduler deployment,2023-08-29T23:49:21,2023-08-30T04:49:21,2023-08-29T23:49:21,2023-08-30T04:49:21
