kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,20,LOG_TIME,2023-05-14T14:50:16,2023-05-14T09:50:16
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,346m,4%,1081Mi,13%,
kind-worker,1155m,14%,233Mi,2%,
kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,21,LOG_TIME,2023-05-14T14:50:17,2023-05-14T09:50:17
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,346m,4%,1081Mi,13%,
kind-worker,1155m,14%,233Mi,2%,
kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,22,LOG_TIME,2023-05-14T14:50:18,2023-05-14T09:50:18
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,346m,4%,1081Mi,13%,
kind-worker,1155m,14%,233Mi,2%,
kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,23,LOG_TIME,2023-05-14T14:50:19,2023-05-14T09:50:19
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,346m,4%,1081Mi,13%,
kind-worker,1155m,14%,233Mi,2%,
kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,24,LOG_TIME,2023-05-14T14:50:20,2023-05-14T09:50:20
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,346m,4%,1081Mi,13%,
kind-worker,1155m,14%,233Mi,2%,
kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,25,LOG_TIME,2023-05-14T14:50:22,2023-05-14T09:50:22
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,346m,4%,1081Mi,13%,
kind-worker,1155m,14%,233Mi,2%,
kind-worker2,50m,0%,219Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,26,LOG_TIME,2023-05-14T14:50:25,2023-05-14T09:50:25
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,27,LOG_TIME,2023-05-14T14:50:27,2023-05-14T09:50:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,28,LOG_TIME,2023-05-14T14:50:30,2023-05-14T09:50:30
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,359m,4%,1084Mi,13%,
kind-worker,1171m,14%,243Mi,3%,
kind-worker2,47m,0%,220Mi,2%,
kind-worker3,39m,0%,194Mi,2%,
idx,29,LOG_TIME,2023-05-14T14:50:31,2023-05-14T09:50:31
