command,keyword,start_cdt,start_utc,end_cdt,end_utc
kubectl apply -f deploy_h1-app.yaml,apply custom h1 app deployment,2023-05-14T12:40:38,2023-05-14T17:40:39,2023-05-14T12:40:39,2023-05-14T17:40:39
kubectl autoscale deployment h1-app --cpu-percent=50 --min=1 --max=10,deploy autoscaler,2023-05-14T12:40:40,2023-05-14T17:40:40,2023-05-14T12:40:40,2023-05-14T17:40:40
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-05-14T12:40:41,2023-05-14T17:40:41,2023-05-14T12:40:41,2023-05-14T17:40:41
pkill -f "python3 logging_start.py",stop logging_start.py,2023-05-14T12:43:11,2023-05-14T17:43:12,2023-05-14T12:43:12,2023-05-14T17:43:12
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-05-14T12:43:17,2023-05-14T17:43:17,2023-05-14T12:43:27,2023-05-14T17:43:27
kubectl delete deploy/h1-app,delete h1-app deployment,2023-05-14T12:43:32,2023-05-14T17:43:32,2023-05-14T12:43:32,2023-05-14T17:43:32
kubectl delete hpa/h1-app,delete hpa,2023-05-14T12:43:33,2023-05-14T17:43:33,2023-05-14T12:43:33,2023-05-14T17:43:33
