command,keyword,start_cdt,start_utc,end_cdt,end_utc
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_start
.py,start logging,2023-08-18T12:26:46,2023-08-18T17:26:46,kubectl taint nodes kind-worker key1=value1:NoExecute,taint node,2023-08-18T12:26:46,2023-08-18T17:26:46,2023-08-18T12:26:46,2023-08-18T17:26:46
kubectl apply -f deploy.yaml,apply deploy_php-apache,2023-08-18T12:26:51,2023-08-18T17:26:51,2023-08-18T12:26:52,2023-08-18T17:26:52
pkill -f "python3 logging_start.py",stop logging_start.py,2023-08-18T12:27:02,2023-08-18T17:27:02,2023-08-18T12:27:02,2023-08-18T17:27:02
python3 /home/gangmuk2/projects/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-08-18T12:27:07,2023-08-18T17:27:07,kubectl delete deploy/php-apache,2023-08-18T12:27:17,2023-08-18T17:27:17,2023-08-18T12:27:17,2023-08-18T17:27:17
kubectl taint nodes kind-worker key1=value1:NoExecute-,remove taint node,2023-08-18T12:27:20,2023-08-18T17:27:20,2023-08-18T12:27:20,2023-08-18T17:27:20
