command,keyword,start_cdt,start_utc,end_cdt,end_utc
kubectl label nodes kind-worker zone=A,label node,2023-05-15T13:07:13,2023-05-15T18:07:13,-,-
kubectl label nodes kind-worker2 zone=A,label node,2023-05-15T13:07:13,2023-05-15T18:07:13,-,-
kubectl label nodes kind-worker3 zone=B,label node,2023-05-15T13:07:13,2023-05-15T18:07:13,-,-
kubectl label nodes kind-worker node=1,label node,2023-05-15T13:07:13,2023-05-15T18:07:13,-,-
kubectl label nodes kind-worker2 node=2,label node,2023-05-15T13:07:13,2023-05-15T18:07:13,-,-
kubectl label nodes kind-worker3 node=3,label node,2023-05-15T13:07:13,2023-05-15T18:07:13,2023-05-15T13:07:14,2023-05-15T18:07:14
kubectl apply -f deploy_h1-app.yaml,apply h1-app deployment,2023-05-15T13:07:19,2023-05-15T18:07:19,2023-05-15T13:07:19,2023-05-15T18:07:19
kubectl autoscale deployment h1-app --cpu-percent=50 --min=1 --max=6,deploy autoscaler,2023-05-15T13:07:24,2023-05-15T18:07:24,2023-05-15T13:07:24,2023-05-15T18:07:24
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_start.py,start logging,2023-05-15T13:07:29,2023-05-15T18:07:29,2023-05-15T13:07:29,2023-05-15T18:07:29
pkill -f python3 logging_start.py,stop logging_start.py,2023-05-15T13:09:29,2023-05-15T18:09:29,2023-05-15T13:09:29,2023-05-15T18:09:29
python3 /home/gangmuk2/project/k8s-failure-reproduction/logging/logging_end.py,end logging,2023-05-15T13:09:34,2023-05-15T18:09:34,2023-05-15T13:09:45,2023-05-15T18:09:45
kubectl delete deploy/h1-app,delete h1-app deployment,2023-05-15T13:09:55,2023-05-15T18:09:55,2023-05-15T13:09:55,2023-05-15T18:09:55
kubectl delete hpa/h1-app,delete hpa,2023-05-15T13:09:56,2023-05-15T18:09:56,2023-05-15T13:09:57,2023-05-15T18:09:57
kubectl label --overwrite nodes kind-worker zone-,remove node label,2023-05-15T13:09:58,2023-05-15T18:09:58,-,-
kubectl label --overwrite nodes kind-worker2 zone-,remove node label,2023-05-15T13:09:58,2023-05-15T18:09:58,-,-
kubectl label --overwrite nodes kind-worker3 zone-,remove node label,2023-05-15T13:09:58,2023-05-15T18:09:58,-,-
kubectl label --overwrite nodes kind-worker node-,remove node label,2023-05-15T13:09:58,2023-05-15T18:09:58,-,-
kubectl label --overwrite nodes kind-worker2 node-,remove node label,2023-05-15T13:09:58,2023-05-15T18:09:58,-,-
kubectl label --overwrite nodes kind-worker3 node-,remove node label,2023-05-15T13:09:58,2023-05-15T18:09:58,2023-05-15T13:09:59,2023-05-15T18:09:59
