kind-worker3,539m,6%,212Mi,2%,
idx,20,LOG_TIME,2023-05-14T02:58:47,2023-05-13T21:58:48
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,21,LOG_TIME,2023-05-14T02:58:49,2023-05-13T21:58:49
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,22,LOG_TIME,2023-05-14T02:58:50,2023-05-13T21:58:50
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,23,LOG_TIME,2023-05-14T02:58:51,2023-05-13T21:58:51
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,24,LOG_TIME,2023-05-14T02:58:52,2023-05-13T21:58:52
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,25,LOG_TIME,2023-05-14T02:58:53,2023-05-13T21:58:53
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,26,LOG_TIME,2023-05-14T02:58:54,2023-05-13T21:58:54
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,349m,4%,937Mi,11%,
kind-worker,109m,1%,205Mi,2%,
kind-worker2,48m,0%,216Mi,2%,
kind-worker3,539m,6%,212Mi,2%,
idx,27,LOG_TIME,2023-05-14T02:58:55,2023-05-13T21:58:55
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,28,LOG_TIME,2023-05-14T02:58:56,2023-05-13T21:58:56
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,29,LOG_TIME,2023-05-14T02:58:57,2023-05-13T21:58:57
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,30,LOG_TIME,2023-05-14T02:58:58,2023-05-13T21:58:58
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,31,LOG_TIME,2023-05-14T02:58:59,2023-05-13T21:58:59
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,32,LOG_TIME,2023-05-13T21:59:00,2023-05-13T21:59:00
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,33,LOG_TIME,2023-05-14T02:59:01,2023-05-13T21:59:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,34,LOG_TIME,2023-05-14T02:59:02,2023-05-13T21:59:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,35,LOG_TIME,2023-05-14T02:59:03,2023-05-13T21:59:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,36,LOG_TIME,2023-05-14T02:59:04,2023-05-13T21:59:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,370m,4%,940Mi,11%,
kind-worker,54m,0%,205Mi,2%,
kind-worker2,50m,0%,215Mi,2%,
kind-worker3,548m,6%,213Mi,2%,
idx,37,LOG_TIME,2023-05-14T02:59:05,2023-05-13T21:59:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,38,LOG_TIME,2023-05-14T02:59:06,2023-05-13T21:59:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,39,LOG_TIME,2023-05-14T02:59:07,2023-05-13T21:59:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
kind-worker,69m,0%,205Mi,2%,
kind-worker2,220m,2%,234Mi,2%,
kind-worker3,639m,7%,231Mi,2%,
idx,40,LOG_TIME,2023-05-14T02:59:08,2023-05-13T21:59:08
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,417m,5%,937Mi,11%,
