nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,23s
idx,34,LOG_TIME,2023-09-15T20:49:56,2023-09-15T15:49:56,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,23s
idx,35,LOG_TIME,2023-09-15T20:49:57,2023-09-15T15:49:57,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,25s
idx,36,LOG_TIME,2023-09-15T20:49:58,2023-09-15T15:49:58,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,26s
idx,37,LOG_TIME,2023-09-15T20:49:59,2023-09-15T15:49:59,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,27s
idx,38,LOG_TIME,2023-09-15T20:50:00,2023-09-15T15:50:00,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,28s
idx,39,LOG_TIME,2023-09-15T20:50:01,2023-09-15T15:50:01,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,29s
idx,40,LOG_TIME,2023-09-15T20:50:02,2023-09-15T15:50:02,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,3,30s
idx,41,LOG_TIME,2023-09-15T20:50:03,2023-09-15T15:50:03,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,31s
idx,42,LOG_TIME,2023-09-15T20:50:04,2023-09-15T15:50:04,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,32s
idx,43,LOG_TIME,2023-09-15T20:50:06,2023-09-15T15:50:06,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,33s
idx,44,LOG_TIME,2023-09-15T20:50:07,2023-09-15T15:50:07,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,34s
idx,45,LOG_TIME,2023-09-15T20:50:08,2023-09-15T15:50:08,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,35s
idx,46,LOG_TIME,2023-09-15T20:50:09,2023-09-15T15:50:09,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,36s
idx,47,LOG_TIME,2023-09-15T20:50:10,2023-09-15T15:50:10,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,37s
idx,48,LOG_TIME,2023-09-15T20:50:11,2023-09-15T15:50:11,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,38s
idx,49,LOG_TIME,2023-09-15T20:50:12,2023-09-15T15:50:12,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,39s
idx,50,LOG_TIME,2023-09-15T20:50:13,2023-09-15T15:50:13,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,40s
idx,51,LOG_TIME,2023-09-15T20:50:14,2023-09-15T15:50:14,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,41s
idx,52,LOG_TIME,2023-09-15T20:50:15,2023-09-15T15:50:15,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,42s
idx,53,LOG_TIME,2023-09-15T20:50:16,2023-09-15T15:50:16,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,43s
idx,54,LOG_TIME,2023-09-15T20:50:17,2023-09-15T15:50:17,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,44s
idx,55,LOG_TIME,2023-09-15T20:50:18,2023-09-15T15:50:18,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,<unknown>/50%,3,5,1,45s
idx,56,LOG_TIME,2023-09-15T20:50:19,2023-09-15T15:50:19,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,46s
idx,57,LOG_TIME,2023-09-15T20:50:20,2023-09-15T15:50:20,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,47s
idx,58,LOG_TIME,2023-09-15T20:50:21,2023-09-15T15:50:21,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,48s
idx,59,LOG_TIME,2023-09-15T20:50:22,2023-09-15T15:50:22,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,49s
idx,60,LOG_TIME,2023-09-15T20:50:23,2023-09-15T15:50:23,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,50s
idx,61,LOG_TIME,2023-09-15T20:50:24,2023-09-15T15:50:24,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,51s
idx,62,LOG_TIME,2023-09-15T20:50:25,2023-09-15T15:50:25,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,52s
idx,63,LOG_TIME,2023-09-15T20:50:26,2023-09-15T15:50:26,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,54s
idx,64,LOG_TIME,2023-09-15T20:50:27,2023-09-15T15:50:27,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,54s
idx,65,LOG_TIME,2023-09-15T20:50:28,2023-09-15T15:50:28,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,56s
idx,66,LOG_TIME,2023-09-15T20:50:29,2023-09-15T15:50:29,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,57s
idx,67,LOG_TIME,2023-09-15T20:50:30,2023-09-15T15:50:30,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,58s
idx,68,LOG_TIME,2023-09-15T20:50:31,2023-09-15T15:50:31,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,59s
idx,69,LOG_TIME,2023-09-15T20:50:32,2023-09-15T15:50:32,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,60s
idx,70,LOG_TIME,2023-09-15T20:50:33,2023-09-15T15:50:33,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,61s
idx,71,LOG_TIME,2023-09-15T20:50:34,2023-09-15T15:50:34,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,62s
idx,72,LOG_TIME,2023-09-15T20:50:35,2023-09-15T15:50:36,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,63s
idx,73,LOG_TIME,2023-09-15T20:50:37,2023-09-15T15:50:37,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,64s
idx,74,LOG_TIME,2023-09-15T20:50:38,2023-09-15T15:50:38,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,65s
idx,75,LOG_TIME,2023-09-15T20:50:39,2023-09-15T15:50:39,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,66s
idx,76,LOG_TIME,2023-09-15T20:50:40,2023-09-15T15:50:40,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,67s
idx,77,LOG_TIME,2023-09-15T20:50:41,2023-09-15T15:50:41,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,68s
idx,78,LOG_TIME,2023-09-15T20:50:42,2023-09-15T15:50:42,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,69s
idx,79,LOG_TIME,2023-09-15T20:50:43,2023-09-15T15:50:43,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,70s
idx,80,LOG_TIME,2023-09-15T20:50:44,2023-09-15T15:50:44,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,71s
idx,81,LOG_TIME,2023-09-15T20:50:45,2023-09-15T15:50:45,-,-
NAME,REFERENCE,TARGETS,MINPODS,MAXPODS,REPLICAS,AGE
nginx-deployment,Deployment/nginx-deployment,0%/50%,3,5,3,72s
