kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,20,LOG_TIME,2023-09-15T20:49:42,2023-09-15T15:49:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,21,LOG_TIME,2023-09-15T20:49:43,2023-09-15T15:49:43,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,22,LOG_TIME,2023-09-15T20:49:44,2023-09-15T15:49:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,23,LOG_TIME,2023-09-15T20:49:45,2023-09-15T15:49:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,24,LOG_TIME,2023-09-15T20:49:46,2023-09-15T15:49:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,25,LOG_TIME,2023-09-15T20:49:47,2023-09-15T15:49:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,26,LOG_TIME,2023-09-15T20:49:48,2023-09-15T15:49:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1437m,17%,802Mi,10%,
kind-worker,101m,1%,358Mi,4%,
kind-worker2,126m,1%,333Mi,4%,
kind-worker3,103m,1%,280Mi,3%,
idx,27,LOG_TIME,2023-09-15T20:49:49,2023-09-15T15:49:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,28,LOG_TIME,2023-09-15T20:49:50,2023-09-15T15:49:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,29,LOG_TIME,2023-09-15T20:49:51,2023-09-15T15:49:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,30,LOG_TIME,2023-09-15T20:49:52,2023-09-15T15:49:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,31,LOG_TIME,2023-09-15T20:49:53,2023-09-15T15:49:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,32,LOG_TIME,2023-09-15T20:49:54,2023-09-15T15:49:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,33,LOG_TIME,2023-09-15T20:49:55,2023-09-15T15:49:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,34,LOG_TIME,2023-09-15T20:49:56,2023-09-15T15:49:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,35,LOG_TIME,2023-09-15T20:49:57,2023-09-15T15:49:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,36,LOG_TIME,2023-09-15T20:49:58,2023-09-15T15:49:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,803Mi,10%,
kind-worker,41m,0%,358Mi,4%,
kind-worker2,62m,0%,335Mi,4%,
kind-worker3,49m,0%,281Mi,3%,
idx,37,LOG_TIME,2023-09-15T20:49:59,2023-09-15T15:49:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,38,LOG_TIME,2023-09-15T20:50:00,2023-09-15T15:50:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,39,LOG_TIME,2023-09-15T20:50:01,2023-09-15T15:50:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,40,LOG_TIME,2023-09-15T20:50:02,2023-09-15T15:50:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,41,LOG_TIME,2023-09-15T20:50:03,2023-09-15T15:50:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,42,LOG_TIME,2023-09-15T20:50:04,2023-09-15T15:50:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,43,LOG_TIME,2023-09-15T20:50:05,2023-09-15T15:50:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,44,LOG_TIME,2023-09-15T20:50:06,2023-09-15T15:50:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,45,LOG_TIME,2023-09-15T20:50:08,2023-09-15T15:50:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,46,LOG_TIME,2023-09-15T20:50:09,2023-09-15T15:50:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1351m,16%,799Mi,10%,
kind-worker,39m,0%,345Mi,4%,
kind-worker2,54m,0%,335Mi,4%,
kind-worker3,38m,0%,267Mi,3%,
idx,47,LOG_TIME,2023-09-15T20:50:10,2023-09-15T15:50:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,48,LOG_TIME,2023-09-15T20:50:11,2023-09-15T15:50:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,49,LOG_TIME,2023-09-15T20:50:12,2023-09-15T15:50:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,50,LOG_TIME,2023-09-15T20:50:13,2023-09-15T15:50:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,51,LOG_TIME,2023-09-15T20:50:14,2023-09-15T15:50:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,52,LOG_TIME,2023-09-15T20:50:15,2023-09-15T15:50:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,53,LOG_TIME,2023-09-15T20:50:16,2023-09-15T15:50:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,54,LOG_TIME,2023-09-15T20:50:17,2023-09-15T15:50:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,55,LOG_TIME,2023-09-15T20:50:18,2023-09-15T15:50:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1345m,16%,811Mi,10%,
kind-worker,39m,0%,346Mi,4%,
kind-worker2,101m,1%,313Mi,3%,
kind-worker3,91m,1%,260Mi,3%,
idx,56,LOG_TIME,2023-09-15T20:50:19,2023-09-15T15:50:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,57,LOG_TIME,2023-09-15T20:50:20,2023-09-15T15:50:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,58,LOG_TIME,2023-09-15T20:50:21,2023-09-15T15:50:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,59,LOG_TIME,2023-09-15T20:50:22,2023-09-15T15:50:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,60,LOG_TIME,2023-09-15T20:50:23,2023-09-15T15:50:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,61,LOG_TIME,2023-09-15T20:50:24,2023-09-15T15:50:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,62,LOG_TIME,2023-09-15T20:50:25,2023-09-15T15:50:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,63,LOG_TIME,2023-09-15T20:50:26,2023-09-15T15:50:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,64,LOG_TIME,2023-09-15T20:50:27,2023-09-15T15:50:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,65,LOG_TIME,2023-09-15T20:50:28,2023-09-15T15:50:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1393m,17%,810Mi,10%,
kind-worker,43m,0%,346Mi,4%,
kind-worker2,127m,1%,323Mi,4%,
kind-worker3,106m,1%,268Mi,3%,
idx,66,LOG_TIME,2023-09-15T20:50:29,2023-09-15T15:50:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,67,LOG_TIME,2023-09-15T20:50:30,2023-09-15T15:50:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,68,LOG_TIME,2023-09-15T20:50:31,2023-09-15T15:50:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,69,LOG_TIME,2023-09-15T20:50:32,2023-09-15T15:50:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
idx,70,LOG_TIME,2023-09-15T20:50:33,2023-09-15T15:50:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1374m,17%,808Mi,10%,
kind-worker,37m,0%,347Mi,4%,
kind-worker2,68m,0%,321Mi,4%,
kind-worker3,36m,0%,268Mi,3%,
