kind-control-plane,1172m,14%,861Mi,10%,
kind-worker,203m,2%,362Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,187m,2%,374Mi,4%,
idx,20,LOG_TIME,2023-09-19T17:02:08,2023-09-19T12:02:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1172m,14%,861Mi,10%,
kind-worker,203m,2%,362Mi,4%,
kind-worker2,140m,1%,323Mi,4%,
kind-worker3,187m,2%,374Mi,4%,
idx,21,LOG_TIME,2023-09-19T17:02:09,2023-09-19T12:02:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,22,LOG_TIME,2023-09-19T17:02:10,2023-09-19T12:02:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,23,LOG_TIME,2023-09-19T17:02:11,2023-09-19T12:02:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,24,LOG_TIME,2023-09-19T17:02:12,2023-09-19T12:02:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,25,LOG_TIME,2023-09-19T17:02:13,2023-09-19T12:02:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,26,LOG_TIME,2023-09-19T17:02:14,2023-09-19T12:02:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,27,LOG_TIME,2023-09-19T17:02:15,2023-09-19T12:02:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,28,LOG_TIME,2023-09-19T17:02:16,2023-09-19T12:02:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,29,LOG_TIME,2023-09-19T17:02:17,2023-09-19T12:02:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1263m,15%,863Mi,10%,
kind-worker,140m,1%,364Mi,4%,
kind-worker2,172m,2%,338Mi,4%,
kind-worker3,137m,1%,375Mi,4%,
idx,30,LOG_TIME,2023-09-19T17:02:18,2023-09-19T12:02:18,-
