kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,20,LOG_TIME,2023-09-19T07:44:03,2023-09-19T02:44:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,832Mi,10%,
kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,21,LOG_TIME,2023-09-19T07:44:04,2023-09-19T02:44:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,832Mi,10%,
kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,22,LOG_TIME,2023-09-19T07:44:05,2023-09-19T02:44:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,832Mi,10%,
kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,23,LOG_TIME,2023-09-19T07:44:06,2023-09-19T02:44:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,832Mi,10%,
kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,24,LOG_TIME,2023-09-19T07:44:07,2023-09-19T02:44:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,832Mi,10%,
kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,25,LOG_TIME,2023-09-19T07:44:08,2023-09-19T02:44:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1198m,14%,832Mi,10%,
kind-worker,36m,0%,307Mi,3%,
kind-worker2,55m,0%,309Mi,3%,
kind-worker3,135m,1%,310Mi,3%,
idx,26,LOG_TIME,2023-09-19T07:44:09,2023-09-19T02:44:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,27,LOG_TIME,2023-09-19T07:44:11,2023-09-19T02:44:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,28,LOG_TIME,2023-09-19T07:44:12,2023-09-19T02:44:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,29,LOG_TIME,2023-09-19T07:44:13,2023-09-19T02:44:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,30,LOG_TIME,2023-09-19T07:44:14,2023-09-19T02:44:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,31,LOG_TIME,2023-09-19T07:44:15,2023-09-19T02:44:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,32,LOG_TIME,2023-09-19T07:44:16,2023-09-19T02:44:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,33,LOG_TIME,2023-09-19T07:44:17,2023-09-19T02:44:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,34,LOG_TIME,2023-09-19T07:44:18,2023-09-19T02:44:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1210m,15%,834Mi,10%,
kind-worker,126m,1%,318Mi,3%,
kind-worker2,144m,1%,321Mi,4%,
kind-worker3,140m,1%,311Mi,3%,
idx,35,LOG_TIME,2023-09-19T07:44:19,2023-09-19T02:44:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,36,LOG_TIME,2023-09-19T07:44:20,2023-09-19T02:44:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,37,LOG_TIME,2023-09-19T07:44:21,2023-09-19T02:44:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,38,LOG_TIME,2023-09-19T07:44:22,2023-09-19T02:44:22,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,39,LOG_TIME,2023-09-19T07:44:23,2023-09-19T02:44:23,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,40,LOG_TIME,2023-09-19T07:44:24,2023-09-19T02:44:24,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,41,LOG_TIME,2023-09-19T07:44:25,2023-09-19T02:44:25,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,42,LOG_TIME,2023-09-19T07:44:26,2023-09-19T02:44:26,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,43,LOG_TIME,2023-09-19T07:44:27,2023-09-19T02:44:27,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,44,LOG_TIME,2023-09-19T07:44:28,2023-09-19T02:44:28,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1186m,14%,838Mi,10%,
kind-worker,121m,1%,331Mi,4%,
kind-worker2,148m,1%,327Mi,4%,
kind-worker3,141m,1%,310Mi,3%,
idx,45,LOG_TIME,2023-09-19T07:44:29,2023-09-19T02:44:29,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,46,LOG_TIME,2023-09-19T07:44:30,2023-09-19T02:44:30,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,47,LOG_TIME,2023-09-19T07:44:31,2023-09-19T02:44:31,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,48,LOG_TIME,2023-09-19T07:44:32,2023-09-19T02:44:32,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,49,LOG_TIME,2023-09-19T07:44:33,2023-09-19T02:44:33,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,50,LOG_TIME,2023-09-19T07:44:34,2023-09-19T02:44:34,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,51,LOG_TIME,2023-09-19T07:44:35,2023-09-19T02:44:35,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,52,LOG_TIME,2023-09-19T07:44:36,2023-09-19T02:44:36,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,53,LOG_TIME,2023-09-19T07:44:37,2023-09-19T02:44:37,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,54,LOG_TIME,2023-09-19T07:44:38,2023-09-19T02:44:38,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1174m,14%,841Mi,10%,
kind-worker,143m,1%,332Mi,4%,
kind-worker2,159m,1%,329Mi,4%,
kind-worker3,141m,1%,311Mi,3%,
idx,55,LOG_TIME,2023-09-19T07:44:39,2023-09-19T02:44:39,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,56,LOG_TIME,2023-09-19T07:44:40,2023-09-19T02:44:40,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,57,LOG_TIME,2023-09-19T07:44:41,2023-09-19T02:44:41,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,58,LOG_TIME,2023-09-19T07:44:42,2023-09-19T02:44:42,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,59,LOG_TIME,2023-09-19T07:44:44,2023-09-19T02:44:44,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,60,LOG_TIME,2023-09-19T07:44:45,2023-09-19T02:44:45,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,61,LOG_TIME,2023-09-19T07:44:46,2023-09-19T02:44:46,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,62,LOG_TIME,2023-09-19T07:44:47,2023-09-19T02:44:47,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,63,LOG_TIME,2023-09-19T07:44:48,2023-09-19T02:44:48,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1173m,14%,850Mi,10%,
kind-worker,250m,3%,358Mi,4%,
kind-worker2,154m,1%,338Mi,4%,
kind-worker3,265m,3%,337Mi,4%,
idx,64,LOG_TIME,2023-09-19T07:44:49,2023-09-19T02:44:49,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,65,LOG_TIME,2023-09-19T07:44:50,2023-09-19T02:44:50,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,66,LOG_TIME,2023-09-19T07:44:51,2023-09-19T02:44:51,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,67,LOG_TIME,2023-09-19T07:44:52,2023-09-19T02:44:52,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,68,LOG_TIME,2023-09-19T07:44:53,2023-09-19T02:44:53,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,69,LOG_TIME,2023-09-19T07:44:54,2023-09-19T02:44:54,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,70,LOG_TIME,2023-09-19T07:44:55,2023-09-19T02:44:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,71,LOG_TIME,2023-09-19T07:44:56,2023-09-19T02:44:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,72,LOG_TIME,2023-09-19T07:44:57,2023-09-19T02:44:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,73,LOG_TIME,2023-09-19T07:44:58,2023-09-19T02:44:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1267m,15%,857Mi,10%,
kind-worker,240m,3%,358Mi,4%,
kind-worker2,161m,2%,339Mi,4%,
kind-worker3,250m,3%,336Mi,4%,
idx,74,LOG_TIME,2023-09-19T07:44:59,2023-09-19T02:44:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,75,LOG_TIME,2023-09-19T07:45:00,2023-09-19T02:45:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,76,LOG_TIME,2023-09-19T07:45:01,2023-09-19T02:45:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,77,LOG_TIME,2023-09-19T07:45:02,2023-09-19T02:45:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,78,LOG_TIME,2023-09-19T07:45:03,2023-09-19T02:45:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,79,LOG_TIME,2023-09-19T07:45:04,2023-09-19T02:45:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1228m,15%,850Mi,10%,
kind-worker,243m,3%,359Mi,4%,
kind-worker2,160m,2%,339Mi,4%,
kind-worker3,241m,3%,337Mi,4%,
idx,80,LOG_TIME,2023-09-19T07:45:05,2023-09-19T02:45:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
