kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,20,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,21,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,22,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,23,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,24,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,25,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,26,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,27,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,28,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,29,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,709m,8%,1345Mi,16%,
kind-worker,39m,0%,355Mi,4%,
kind-worker2,83m,1%,275Mi,3%,
kind-worker3,41m,0%,263Mi,3%,
idx,30,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,31,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,32,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,906m,11%,1342Mi,16%,
kind-worker,49m,0%,355Mi,4%,
kind-worker2,53m,0%,275Mi,3%,
kind-worker3,49m,0%,263Mi,3%,
idx,33,LOG_TIME,2023-04-24T03:28:27,2023-04-23T22:28:27
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
