kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,20,LOG_TIME,2023-05-12T05:23:01,2023-05-12T00:23:01
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1051m,13%,1387Mi,17%,
kind-worker,48m,0%,353Mi,4%,
kind-worker2,47m,0%,406Mi,5%,
kind-worker3,51m,0%,385Mi,4%,
idx,21,LOG_TIME,2023-05-12T05:23:02,2023-05-12T00:23:02
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,22,LOG_TIME,2023-05-12T05:23:03,2023-05-12T00:23:03
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,23,LOG_TIME,2023-05-12T05:23:04,2023-05-12T00:23:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,24,LOG_TIME,2023-05-12T05:23:05,2023-05-12T00:23:05
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,25,LOG_TIME,2023-05-12T05:23:06,2023-05-12T00:23:06
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
kind-worker,205m,2%,358Mi,4%,
kind-worker2,194m,2%,420Mi,5%,
kind-worker3,110m,1%,393Mi,4%,
idx,26,LOG_TIME,2023-05-12T05:23:07,2023-05-12T00:23:07
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1117m,13%,1397Mi,17%,
