kind-worker,43m,0%,368Mi,4%,
kind-worker2,37m,0%,255Mi,3%,
kind-worker3,36m,0%,255Mi,3%,
idx,20,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1335Mi,16%,
kind-worker,43m,0%,368Mi,4%,
kind-worker2,37m,0%,255Mi,3%,
kind-worker3,36m,0%,255Mi,3%,
idx,21,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1335Mi,16%,
kind-worker,43m,0%,368Mi,4%,
kind-worker2,37m,0%,255Mi,3%,
kind-worker3,36m,0%,255Mi,3%,
idx,22,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,1028m,12%,1335Mi,16%,
kind-worker,43m,0%,368Mi,4%,
kind-worker2,37m,0%,255Mi,3%,
kind-worker3,36m,0%,255Mi,3%,
idx,23,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,946m,11%,1334Mi,16%,
kind-worker,51m,0%,369Mi,4%,
kind-worker2,40m,0%,254Mi,3%,
kind-worker3,33m,0%,255Mi,3%,
idx,24,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,946m,11%,1334Mi,16%,
kind-worker,51m,0%,369Mi,4%,
kind-worker2,40m,0%,254Mi,3%,
kind-worker3,33m,0%,255Mi,3%,
idx,25,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,946m,11%,1334Mi,16%,
kind-worker,51m,0%,369Mi,4%,
kind-worker2,40m,0%,254Mi,3%,
kind-worker3,33m,0%,255Mi,3%,
idx,26,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
idx,27,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,946m,11%,1334Mi,16%,
kind-worker,51m,0%,369Mi,4%,
kind-worker2,40m,0%,254Mi,3%,
kind-worker3,33m,0%,255Mi,3%,
idx,28,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,946m,11%,1334Mi,16%,
kind-worker,51m,0%,369Mi,4%,
kind-worker2,40m,0%,254Mi,3%,
kind-worker3,33m,0%,255Mi,3%,
idx,29,LOG_TIME,2023-04-23T07:30:04,2023-04-23T02:30:04
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,946m,11%,1334Mi,16%,
kind-worker,51m,0%,369Mi,4%,
kind-worker2,40m,0%,254Mi,3%,
kind-worker3,33m,0%,255Mi,3%,
