kind-worker,40m,0%,294Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,169m,2%,310Mi,3%,
idx,20,LOG_TIME,2023-05-18T15:18:55,2023-05-18T10:18:55,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,21,LOG_TIME,2023-05-18T15:18:56,2023-05-18T10:18:56,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,22,LOG_TIME,2023-05-18T15:18:57,2023-05-18T10:18:57,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,23,LOG_TIME,2023-05-18T15:18:58,2023-05-18T10:18:58,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,24,LOG_TIME,2023-05-18T15:18:59,2023-05-18T10:18:59,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,25,LOG_TIME,2023-05-18T15:19:00,2023-05-18T10:19:00,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,26,LOG_TIME,2023-05-18T15:19:01,2023-05-18T10:19:01,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,27,LOG_TIME,2023-05-18T15:19:02,2023-05-18T10:19:02,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,28,LOG_TIME,2023-05-18T15:19:03,2023-05-18T10:19:03,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,29,LOG_TIME,2023-05-18T15:19:04,2023-05-18T10:19:04,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,983m,12%,830Mi,10%,
kind-worker,34m,0%,295Mi,3%,
kind-worker2,51m,0%,312Mi,3%,
kind-worker3,136m,1%,311Mi,3%,
idx,30,LOG_TIME,2023-05-18T15:19:05,2023-05-18T10:19:05,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,31,LOG_TIME,2023-05-18T15:19:06,2023-05-18T10:19:06,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,32,LOG_TIME,2023-05-18T15:19:07,2023-05-18T10:19:07,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,33,LOG_TIME,2023-05-18T15:19:08,2023-05-18T10:19:08,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,34,LOG_TIME,2023-05-18T15:19:09,2023-05-18T10:19:09,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,35,LOG_TIME,2023-05-18T15:19:10,2023-05-18T10:19:10,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,36,LOG_TIME,2023-05-18T15:19:11,2023-05-18T10:19:11,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,37,LOG_TIME,2023-05-18T15:19:12,2023-05-18T10:19:12,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,38,LOG_TIME,2023-05-18T15:19:13,2023-05-18T10:19:13,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,39,LOG_TIME,2023-05-18T15:19:14,2023-05-18T10:19:14,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,962m,12%,835Mi,10%,
kind-worker,128m,1%,307Mi,3%,
kind-worker2,177m,2%,331Mi,4%,
kind-worker3,144m,1%,312Mi,3%,
idx,40,LOG_TIME,2023-05-18T15:19:15,2023-05-18T10:19:15,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,41,LOG_TIME,2023-05-18T15:19:16,2023-05-18T10:19:16,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,42,LOG_TIME,2023-05-18T15:19:17,2023-05-18T10:19:17,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,43,LOG_TIME,2023-05-18T15:19:18,2023-05-18T10:19:18,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,44,LOG_TIME,2023-05-18T15:19:19,2023-05-18T10:19:19,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,45,LOG_TIME,2023-05-18T15:19:20,2023-05-18T10:19:20,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
kind-control-plane,969m,12%,833Mi,10%,
kind-worker,141m,1%,314Mi,3%,
kind-worker2,149m,1%,332Mi,4%,
kind-worker3,138m,1%,312Mi,3%,
idx,46,LOG_TIME,2023-05-18T15:19:21,2023-05-18T10:19:21,-
NAME,CPU(cores),CPU%,MEMORY(bytes),MEMORY%,
